Java HotSpot(TM) 64-Bit Server VM warning: ignoring option PermSize=128m; support was removed in 8.0
Java HotSpot(TM) 64-Bit Server VM warning: UseCMSCompactAtFullCollection is deprecated and will likely be removed in a future release.
log4j:WARN No appenders could be found for logger (com.alibaba.dubbo.common.logger.LoggerFactory).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
[2017-08-23 21:37:10] Dubbo service server started!
[21:49:54] Hello world288, request from consumer: /192.168.31.210:59621
[21:49:56] Hello world289, request from consumer: /192.168.31.210:59621
[21:49:58] Hello world290, request from consumer: /192.168.31.210:59621
[21:50:00] Hello world291, request from consumer: /192.168.31.210:59621
[21:50:02] Hello world292, request from consumer: /192.168.31.210:59621
[21:50:04] Hello world293, request from consumer: /192.168.31.210:59621
[21:50:06] Hello world294, request from consumer: /192.168.31.210:59621
[21:50:08] Hello world295, request from consumer: /192.168.31.210:59621
[21:50:10] Hello world296, request from consumer: /192.168.31.210:59621
[21:50:12] Hello world297, request from consumer: /192.168.31.210:59621
[21:50:14] Hello world298, request from consumer: /192.168.31.210:59621
[21:50:16] Hello world299, request from consumer: /192.168.31.210:59621
[21:50:18] Hello world300, request from consumer: /192.168.31.210:59621
[21:50:20] Hello world301, request from consumer: /192.168.31.210:59621
[21:50:22] Hello world302, request from consumer: /192.168.31.210:59621
[21:50:24] Hello world303, request from consumer: /192.168.31.210:59621
[21:50:26] Hello world304, request from consumer: /192.168.31.210:59621
[21:50:28] Hello world305, request from consumer: /192.168.31.210:59621
[21:50:30] Hello world306, request from consumer: /192.168.31.210:59621
[21:50:32] Hello world307, request from consumer: /192.168.31.210:59621
[21:50:34] Hello world308, request from consumer: /192.168.31.210:59621
[21:50:36] Hello world309, request from consumer: /192.168.31.210:59621
[21:50:38] Hello world310, request from consumer: /192.168.31.210:59621
[21:50:40] Hello world311, request from consumer: /192.168.31.210:59621
[21:50:42] Hello world312, request from consumer: /192.168.31.210:59621
[21:50:44] Hello world313, request from consumer: /192.168.31.210:59621
[21:50:46] Hello world314, request from consumer: /192.168.31.210:59621
[21:50:48] Hello world315, request from consumer: /192.168.31.210:59621
[21:50:50] Hello world316, request from consumer: /192.168.31.210:59621
[21:50:52] Hello world317, request from consumer: /192.168.31.210:59621
[21:50:54] Hello world318, request from consumer: /192.168.31.210:59621
[21:50:56] Hello world319, request from consumer: /192.168.31.210:59621
[21:50:58] Hello world320, request from consumer: /192.168.31.210:59621
[21:51:00] Hello world321, request from consumer: /192.168.31.210:59621
[21:51:02] Hello world322, request from consumer: /192.168.31.210:59621
[21:51:04] Hello world323, request from consumer: /192.168.31.210:59621
[21:51:06] Hello world324, request from consumer: /192.168.31.210:59621
[21:51:08] Hello world325, request from consumer: /192.168.31.210:59621
[21:51:10] Hello world326, request from consumer: /192.168.31.210:59621
[21:51:12] Hello world327, request from consumer: /192.168.31.210:59621
[21:51:14] Hello world328, request from consumer: /192.168.31.210:59621
[21:51:16] Hello world329, request from consumer: /192.168.31.210:59621
[21:51:18] Hello world330, request from consumer: /192.168.31.210:59621
[21:51:20] Hello world331, request from consumer: /192.168.31.210:59621
[21:51:22] Hello world332, request from consumer: /192.168.31.210:59621
